Name	Key	Frames	X	Y	Size
{biaoqing0a}	[emoji-0]	1	0	0	0.0625
{biaoqing10a}	[emoji-1]	1	0.0625	0	0.0625
{biaoqing11a}	[emoji-2]	1	0.125	0	0.0625
{biaoqing12a}	[emoji-3]	1	0.1875	0	0.0625
{biaoqing13a}	[emoji-4]	1	0.25	0	0.0625
{biaoqing14a}	[emoji-5]	1	0.3125	0	0.0625
{biaoqing15a}	[emoji-6]	1	0.375	0	0.0625
{biaoqing16a}	[emoji-7]	1	0.4375	0	0.0625
{biaoqing17a}	[emoji-8]	1	0.5	0	0.0625
{biaoqing18a}	[emoji-9]	1	0.5625	0	0.0625
{biaoqing20a}	[emoji-10]	1	0.625	0	0.0625
{biaoqing21a}	[emoji-11]	1	0.6875	0	0.0625
{biaoqing22a}	[emoji-12]	1	0.75	0	0.0625
{biaoqing23a}	[emoji-13]	1	0.8125	0	0.0625
{biaoqing24a}	[emoji-14]	1	0.875	0	0.0625
{biaoqing25a}	[emoji-15]	1	0.9375	0	0.0625
{biaoqing26a}	[emoji-16]	1	0	0.0625	0.0625
{biaoqing27a}	[emoji-17]	1	0.0625	0.0625	0.0625
{biaoqing28a}	[emoji-18]	1	0.125	0.0625	0.0625
{biaoqing29a}	[emoji-19]	1	0.1875	0.0625	0.0625
{biaoqing2a}	[emoji-20]	1	0.25	0.0625	0.0625
{biaoqing30a}	[emoji-21]	1	0.3125	0.0625	0.0625
{biaoqing31a}	[emoji-22]	1	0.375	0.0625	0.0625
{biaoqing32a}	[emoji-23]	1	0.4375	0.0625	0.0625
{biaoqing33a}	[emoji-24]	1	0.5	0.0625	0.0625
{biaoqing34a}	[emoji-25]	1	0.5625	0.0625	0.0625
{biaoqing35a}	[emoji-26]	1	0.625	0.0625	0.0625
{biaoqing36a}	[emoji-27]	1	0.6875	0.0625	0.0625
{biaoqing37a}	[emoji-28]	1	0.75	0.0625	0.0625
{biaoqing38a}	[emoji-29]	1	0.8125	0.0625	0.0625
{biaoqing39a}	[emoji-30]	1	0.875	0.0625	0.0625
{biaoqing3a}	[emoji-31]	1	0.9375	0.0625	0.0625
{biaoqing40a}	[emoji-32]	1	0	0.125	0.0625
{biaoqing41a}	[emoji-33]	1	0.0625	0.125	0.0625
{biaoqing42a}	[emoji-34]	1	0.125	0.125	0.0625
{biaoqing43a}	[emoji-35]	1	0.1875	0.125	0.0625
{biaoqing44a}	[emoji-36]	1	0.25	0.125	0.0625
{biaoqing45a}	[emoji-37]	1	0.3125	0.125	0.0625
{biaoqing46a}	[emoji-38]	1	0.375	0.125	0.0625
{biaoqing47a}	[emoji-39]	1	0.4375	0.125	0.0625
{biaoqing48a}	[emoji-40]	1	0.5	0.125	0.0625
{biaoqing49a}	[emoji-41]	1	0.5625	0.125	0.0625
{biaoqing4a}	[emoji-42]	1	0.625	0.125	0.0625
{biaoqing50a}	[emoji-43]	1	0.6875	0.125	0.0625
{biaoqing51a}	[emoji-44]	1	0.75	0.125	0.0625
{biaoqing52a}	[emoji-45]	1	0.8125	0.125	0.0625
{biaoqing53a}	[emoji-46]	1	0.875	0.125	0.0625
{biaoqing54a}	[emoji-47]	1	0.9375	0.125	0.0625
{biaoqing55a}	[emoji-48]	1	0	0.1875	0.0625
{biaoqing56a}	[emoji-49]	1	0.0625	0.1875	0.0625
{biaoqing57a}	[emoji-50]	1	0.125	0.1875	0.0625
{biaoqing58a}	[emoji-51]	1	0.1875	0.1875	0.0625
{biaoqing59a}	[emoji-52]	1	0.25	0.1875	0.0625
{biaoqing5a}	[emoji-53]	1	0.3125	0.1875	0.0625
{biaoqing60a}	[emoji-54]	1	0.375	0.1875	0.0625
{biaoqing61a}	[emoji-55]	1	0.4375	0.1875	0.0625
{biaoqing62a}	[emoji-56]	1	0.5	0.1875	0.0625
{biaoqing63a}	[emoji-57]	1	0.5625	0.1875	0.0625
{biaoqing64a}	[emoji-58]	1	0.625	0.1875	0.0625
{biaoqing65a}	[emoji-59]	1	0.6875	0.1875	0.0625
{biaoqing66a}	[emoji-60]	1	0.75	0.1875	0.0625
{biaoqing67a}	[emoji-61]	1	0.8125	0.1875	0.0625
{biaoqing68a}	[emoji-62]	1	0.875	0.1875	0.0625
{biaoqing69a}	[emoji-63]	1	0.9375	0.1875	0.0625
{biaoqing6a}	[emoji-64]	1	0	0.25	0.0625
{biaoqing7a}	[emoji-65]	1	0.0625	0.25	0.0625
{biaoqing8a}	[emoji-66]	1	0.125	0.25	0.0625
{biaoqing9a}	[emoji-67]	1	0.1875	0.25	0.0625
{tongku}	[emoji-68]	1	0.25	0.25	0.0625
{tu}	[emoji-69]	1	0.3125	0.25	0.0625
