Name	Key	Frames	X	Y	Size
[1]	[emoji-0]	1	0	0	0.09765625
[10]	[emoji-1]	1	0.09765625	0	0.09765625
[11]	[emoji-2]	1	0.1953125	0	0.09765625
[12]	[emoji-3]	1	0.2929688	0	0.09765625
[13]	[emoji-4]	1	0.390625	0	0.09765625
[14]	[emoji-5]	1	0.4882813	0	0.09765625
[15]	[emoji-6]	1	0.5859375	0	0.09765625
[16]	[emoji-7]	1	0.6835938	0	0.09765625
[17]	[emoji-8]	1	0.78125	0	0.09765625
[18]	[emoji-9]	1	0.8789063	0	0.09765625
[19]	[emoji-10]	1	0.9765625	0	0.09765625
[2]	[emoji-11]	1	0	0.09765625	0.09765625
[20]	[emoji-12]	1	0.09765625	0.09765625	0.09765625
[21]	[emoji-13]	1	0.1953125	0.09765625	0.09765625
[22]	[emoji-14]	1	0.2929688	0.09765625	0.09765625
[23]	[emoji-15]	1	0.390625	0.09765625	0.09765625
[24]	[emoji-16]	1	0.4882813	0.09765625	0.09765625
[25]	[emoji-17]	1	0.5859375	0.09765625	0.09765625
[26]	[emoji-18]	1	0.6835938	0.09765625	0.09765625
[27]	[emoji-19]	1	0.78125	0.09765625	0.09765625
[28]	[emoji-20]	1	0.8789063	0.09765625	0.09765625
[29]	[emoji-21]	1	0.9765625	0.09765625	0.09765625
[3]	[emoji-22]	1	0	0.1953125	0.09765625
[30]	[emoji-23]	1	0.09765625	0.1953125	0.09765625
[31]	[emoji-24]	1	0.1953125	0.1953125	0.09765625
[32]	[emoji-25]	1	0.2929688	0.1953125	0.09765625
[33]	[emoji-26]	1	0.390625	0.1953125	0.09765625
[34]	[emoji-27]	1	0.4882813	0.1953125	0.09765625
[35]	[emoji-28]	1	0.5859375	0.1953125	0.09765625
[36]	[emoji-29]	1	0.6835938	0.1953125	0.09765625
[37]	[emoji-30]	1	0.78125	0.1953125	0.09765625
[38]	[emoji-31]	1	0.8789063	0.1953125	0.09765625
[39]	[emoji-32]	1	0.9765625	0.1953125	0.09765625
[4]	[emoji-33]	1	0	0.2929688	0.09765625
[40]	[emoji-34]	1	0.09765625	0.2929688	0.09765625
[41]	[emoji-35]	1	0.1953125	0.2929688	0.09765625
[42]	[emoji-36]	1	0.2929688	0.2929688	0.09765625
[43]	[emoji-37]	1	0.390625	0.2929688	0.09765625
[44]	[emoji-38]	1	0.4882813	0.2929688	0.09765625
[45]	[emoji-39]	1	0.5859375	0.2929688	0.09765625
[46]	[emoji-40]	1	0.6835938	0.2929688	0.09765625
[47]	[emoji-41]	1	0.78125	0.2929688	0.09765625
[48]	[emoji-42]	1	0.8789063	0.2929688	0.09765625
[49]	[emoji-43]	1	0.9765625	0.2929688	0.09765625
[5]	[emoji-44]	1	0	0.390625	0.09765625
[50]	[emoji-45]	1	0.09765625	0.390625	0.09765625
[51]	[emoji-46]	1	0.1953125	0.390625	0.09765625
[52]	[emoji-47]	1	0.2929688	0.390625	0.09765625
[53]	[emoji-48]	1	0.390625	0.390625	0.09765625
[54]	[emoji-49]	1	0.4882813	0.390625	0.09765625
[55]	[emoji-50]	1	0.5859375	0.390625	0.09765625
[56]	[emoji-51]	1	0.6835938	0.390625	0.09765625
[57]	[emoji-52]	1	0.78125	0.390625	0.09765625
[58]	[emoji-53]	1	0.8789063	0.390625	0.09765625
[59]	[emoji-54]	1	0.9765625	0.390625	0.09765625
[6]	[emoji-55]	1	0	0.4882813	0.09765625
[60]	[emoji-56]	1	0.09765625	0.4882813	0.09765625
[61]	[emoji-57]	1	0.1953125	0.4882813	0.09765625
[62]	[emoji-58]	1	0.2929688	0.4882813	0.09765625
[63]	[emoji-59]	1	0.390625	0.4882813	0.09765625
[64]	[emoji-60]	1	0.4882813	0.4882813	0.09765625
[65]	[emoji-61]	1	0.5859375	0.4882813	0.09765625
[66]	[emoji-62]	1	0.6835938	0.4882813	0.09765625
[67]	[emoji-63]	1	0.78125	0.4882813	0.09765625
[68]	[emoji-64]	1	0.8789063	0.4882813	0.09765625
[69]	[emoji-65]	1	0.9765625	0.4882813	0.09765625
[7]	[emoji-66]	1	0	0.5859375	0.09765625
[70]	[emoji-67]	1	0.09765625	0.5859375	0.09765625
[71]	[emoji-68]	1	0.1953125	0.5859375	0.09765625
[72]	[emoji-69]	1	0.2929688	0.5859375	0.09765625
[73]	[emoji-70]	1	0.390625	0.5859375	0.09765625
[74]	[emoji-71]	1	0.4882813	0.5859375	0.09765625
[75]	[emoji-72]	1	0.5859375	0.5859375	0.09765625
[8]	[emoji-73]	1	0.6835938	0.5859375	0.09765625
[9]	[emoji-74]	1	0.78125	0.5859375	0.09765625
